package	total
beav	11443
bed2gff	2754
bed2gtf	2025
bedgovcf	1979
bedops	203615
bedparse	3511
bedtk	5105
bedtools	2538834
behst	77917
bel-resources	7177
bellavista	61
bellerophon	2235
bellmans-gapc	29632
berokka	14381
besst	21321
bfc	13705
bftools	7298
bg	1716
bgreat	5814
bgt	12728
bialign	6825
biasaway	32829
bibliospec	5450
bicseq2-norm	5913
bicseq2-seg	5945
bifrost	30503
bigscape	9815
bigsi	2383
bigslice	602
bigtools	5877
binchicken	7039
bindash	8656
bindashtree	464
binette	5101
binlorry	2852
binning_refiner	3797
binny	1054
binsanity	52584
binspreader	1811
bio	2048
bio-ting	7622
bio-vcf	26623
bio_assembly_refinement	22022
bio_hansel	82836
bioawk	84698
biobambam	114234
biobasehttptools	5487
biobb_adapters	15490
biobb_amber	19262
biobb_analysis	82681
biobb_chemistry	44763
biobb_cmip	25068
biobb_common	61653
biobb_cp2k	12816
biobb_dna	22835
biobb_flexdyn	9760
biobb_flexserv	9579
biobb_godmd	10037
biobb_gromacs	11539
biobb_haddock	1158
biobb_io	54145
biobb_md	41333
biobb_mem	3000
biobb_ml	24126
biobb_model	59893
biobb_morph	346
biobb_pdb_tools	2945
biobb_pmx	35468
biobb_pytorch	2253
biobb_remote	2603
biobb_structure_checking	61278
biobb_structure_manager	16321
biobb_structure_utils	47092
biobb_vs	25846
biobb_wf_mutations	5159
bioblend	114962
biobloomtools	3665
biobox_add_taxid	2349
biocamlib	848
biocantor	2829
biocode	7547
biocommons.seqrepo	11973
bioconda-repodata-patches	190873
bioconda-utils	252312
bioconda2biocontainer	14749
bioconductor-a4	22650
bioconductor-a4base	33647
bioconductor-a4classif	21783
bioconductor-a4core	38712
bioconductor-a4preproc	37814
bioconductor-a4reporting	33054
bioconductor-abadata	27647
bioconductor-abaenrichment	36430
bioconductor-abarray	22726
bioconductor-abseqr	22889
bioconductor-absseq	40137
bioconductor-acde	41523
bioconductor-ace	23199
bioconductor-acgh	48025
bioconductor-acme	48538
bioconductor-adacgh2	25984
bioconductor-adam	26988
bioconductor-adamgui	20771
bioconductor-adapt	179
bioconductor-adaptest	9331
bioconductor-adductdata	20176
bioconductor-adductomicsr	19949
bioconductor-adimpute	12178
bioconductor-adme16cod.db	4705
bioconductor-adsplit	47069
bioconductor-adverscarial	1214
bioconductor-affixcan	22864
bioconductor-affxparser	57244
bioconductor-affy	105590
bioconductor-affycomp	39564
bioconductor-affycompatible	34529
bioconductor-affycompdata	22885
bioconductor-affycontam	36979
bioconductor-affycoretools	31544
bioconductor-affydata	42275
bioconductor-affyexpress	29799
bioconductor-affyhgu133a2expr	25832
bioconductor-affyhgu133aexpr	21693
bioconductor-affyhgu133plus2expr	25572
bioconductor-affyilm	36248
bioconductor-affyio	112221
bioconductor-affylmgui	21568
bioconductor-affymetrixdatatestfiles	26154
bioconductor-affymoe4302expr	25594
bioconductor-affypara	13393
bioconductor-affypdnn	24885
bioconductor-affyplm	43105
bioconductor-affyqcreport	13633
bioconductor-affyrnadegradation	38905
bioconductor-ag.db	7060
bioconductor-agcdf	4660
bioconductor-agdex	39392
bioconductor-aggregatebiovar	12200
bioconductor-agilp	37099
bioconductor-agimicrorna	22795
bioconductor-agprobe	4968
bioconductor-ahcytobands	6858
bioconductor-ahensdbs	20799
bioconductor-ahlrbasedbs	8834
bioconductor-ahmassbank	2464
bioconductor-ahmeshdbs	9248
bioconductor-ahpathbankdbs	3317
bioconductor-ahpubmeddbs	9460
bioconductor-ahwikipathwaysdbs	3388
bioconductor-aims	42704
bioconductor-airpart	9300
bioconductor-airway	23928
bioconductor-alabaster	2464
bioconductor-alabaster.base	2731
bioconductor-alabaster.bumpy	2438
bioconductor-alabaster.files	1187
bioconductor-alabaster.mae	2500
bioconductor-alabaster.matrix	2694
bioconductor-alabaster.ranges	2696
bioconductor-alabaster.sce	2511
bioconductor-alabaster.schemas	2849
bioconductor-alabaster.se	2647
bioconductor-alabaster.spatial	2443
bioconductor-alabaster.string	2513
bioconductor-alabaster.vcf	2468
bioconductor-aldex2	45388
bioconductor-alevinqc	32652
bioconductor-all	53837
bioconductor-allelicimbalance	21971
bioconductor-allenpvc	6333
bioconductor-allmll	20701
bioconductor-alphabeta	17578
bioconductor-alphamissense.v2023.hg19	1021
bioconductor-alphamissense.v2023.hg38	1024
bioconductor-alphamissenser	246
bioconductor-alpine	43893
bioconductor-alpinedata	21574
bioconductor-alps	10877
bioconductor-alpsnmr	9407
bioconductor-alsace	18760
bioconductor-altcdfenvs	32016
bioconductor-alternativesplicingevents.hg19	6825
bioconductor-alternativesplicingevents.hg38	7825
bioconductor-amaretto	24105
bioconductor-amountain	49568
bioconductor-ampaffyexample	20326
bioconductor-amplican	29360
bioconductor-ampliqueso	2774
bioconductor-analysispageserver	16827
bioconductor-anamir	4467
bioconductor-anaquin	19814
bioconductor-ancombc	156788
bioconductor-aneufinder	30670
bioconductor-aneufinderdata	26923
bioconductor-anf	18440
bioconductor-animalcules	16816
bioconductor-annaffy	40401
bioconductor-annmap	39856
bioconductor-annotate	505206
bioconductor-annotationdbi	705092
bioconductor-annotationfilter	111181
bioconductor-annotationforge	67539
bioconductor-annotationfuncs	31193
bioconductor-annotationhub	112917
bioconductor-annotationhubdata	35611
bioconductor-annotationtools	38745
bioconductor-annotatr	27796
bioconductor-anopheles.db0	18998
bioconductor-anota	38425
bioconductor-anota2seq	22736
bioconductor-antiprofiles	39067
bioconductor-antiprofilesdata	24943
bioconductor-anvil	15444
bioconductor-anvilaz	242
bioconductor-anvilbase	156
bioconductor-anvilbilling	13734
bioconductor-anvilgcp	252
bioconductor-anvilpublish	12152
bioconductor-anvilworkflow	2073
bioconductor-apalyzer	14144
bioconductor-apcomplex	32180
bioconductor-apeglm	334012
bioconductor-apl	2393
bioconductor-appreci8r	17536
bioconductor-arabidopsis.db0	23160
bioconductor-aracne.networks	23193
bioconductor-aroma.light	63533
bioconductor-arrayexpress	36607
bioconductor-arrayexpresshts	21727
bioconductor-arraymvout	22066
bioconductor-arrayquality	43107
bioconductor-arrayqualitymetrics	32797
bioconductor-arraytools	29956
bioconductor-arraytv	10770
bioconductor-arrmdata	33941
bioconductor-arrmnormalization	32948
bioconductor-artms	27986
bioconductor-asafe	38125
bioconductor-aseb	49198
bioconductor-asgsca	39982
bioconductor-ashkenazimsonchr21	25450
bioconductor-asics	21435
bioconductor-asicsdata	20257
bioconductor-aspediafi	14444
bioconductor-aspli	37673
bioconductor-assessorf	22853
bioconductor-assessorfdata	20122
bioconductor-asset	22084
bioconductor-assign	21147
bioconductor-assorthead	3238
bioconductor-asurat	4654
bioconductor-ataccogaps	3954
bioconductor-atacseqqc	39114
bioconductor-atacseqtfea	4219
bioconductor-atena	6894
bioconductor-ath1121501.db	6939
bioconductor-ath1121501cdf	4731
bioconductor-ath1121501frmavecs	236
bioconductor-ath1121501probe	4644
bioconductor-atlasrdf	11471
bioconductor-atsnp	22700
bioconductor-attract	21990
bioconductor-aucell	29422
bioconductor-autonomics	8983
bioconductor-autotuner	13346
bioconductor-awfisher	21547
bioconductor-awst	9228
bioconductor-baalchip	35367
bioconductor-bac	44339
bioconductor-bacon	56132
bioconductor-bader	52374
bioconductor-badregionfinder	36970
bioconductor-bags	30887
bioconductor-ballgown	50488
bioconductor-bambu	30860
bioconductor-bamsignals	49925
bioconductor-bandits	26399
bioconductor-bandle	4662
bioconductor-banocc	39345
bioconductor-barcodetrackr	9414
bioconductor-barley1cdf	4598
bioconductor-barley1probe	4599
bioconductor-basecallqc	32430
bioconductor-basespacer	39564
bioconductor-basic4cseq	45379
bioconductor-basics	33425
bioconductor-basicstan	4660
bioconductor-basicstarrseq	21028
bioconductor-basilisk	26553
bioconductor-basilisk.utils	24783
bioconductor-batchelor	41407
bioconductor-batchqc	32003
bioconductor-bayesknockdown	21478
bioconductor-bayespeak	35911
bioconductor-bayesspace	16051
bioconductor-baynorm	28079
bioconductor-bayseq	39041
bioconductor-bbcanalyzer	39922
bioconductor-bcellviper	23222
bioconductor-bcrank	48339
bioconductor-bcseq	31158
bioconductor-bdmmacorrect	29400
bioconductor-beachmat	488713
bioconductor-beachmat.hdf5	1059
bioconductor-beadarray	47489
bioconductor-beadarrayexampledata	20371
bioconductor-beadarraysnp	39456
bioconductor-beadarrayusecases	22656
bioconductor-beaddatapackr	50031
bioconductor-beadsorted.saliva.epic	7430
bioconductor-bearscc	22558
bioconductor-beat	41411
bioconductor-beclear	44860
bioconductor-beer	2578
bioconductor-benchdamic	5475
bioconductor-benchmarkfdrdata2019	17557
bioconductor-beta7	23166
bioconductor-betahmm	238
bioconductor-bettr	74
bioconductor-bg2	1830
bioconductor-bgafun	28287
bioconductor-bgeecall	17219
bioconductor-bgeedb	39669
bioconductor-bgmix	44685
bioconductor-bgx	22772
bioconductor-bhc	46879
bioconductor-bicare	47556
bioconductor-bifet	22832
bioconductor-biggr	9633
bioconductor-bigmelon	22277
bioconductor-bigmemoryextras	11657
bioconductor-bigpint	19146
bioconductor-bindingsitefinder	6675
bioconductor-bioassayr	27793
bioconductor-biobase	1529474
bioconductor-biobroom	20578
bioconductor-biobtreer	14287
bioconductor-biocancer	20323
bioconductor-biocartaimage	580
bioconductor-biocbaseutils	152738
bioconductor-biocbook	762
bioconductor-bioccasestudies	13973
bioconductor-bioccheck	25580
bioconductor-biocdockermanager	16047
bioconductor-biocfhir	4296
bioconductor-biocfilecache	214386
bioconductor-biocgenerics	1579008
bioconductor-biocgraph	32983
bioconductor-biochail	1152
bioconductor-biochubsshiny	2485
bioconductor-biocinstaller	85159
bioconductor-biocio	184034
bioconductor-biocneighbors	432172
bioconductor-bioconcotk	20773
bioconductor-biocor	21790
bioconductor-biocparallel	1405332
bioconductor-biocpkgtools	23271
bioconductor-biocroxytest	242
bioconductor-biocset	14745
bioconductor-biocsingular	427881
bioconductor-biocsklearn	31445
bioconductor-biocstyle	80942
bioconductor-biocthis	13902
bioconductor-biocversion	68073
bioconductor-biocviews	57107
bioconductor-biocworkflowtools	39434
bioconductor-biodb	12711
bioconductor-biodbchebi	6743
bioconductor-biodbexpasy	4055
bioconductor-biodbhmdb	10555
bioconductor-biodbkegg	6102
bioconductor-biodblipidmaps	4555
bioconductor-biodbmirbase	4118
bioconductor-biodbncbi	4286
bioconductor-biodbnci	4623
bioconductor-biodbuniprot	6261
bioconductor-biodist	39528
bioconductor-bioga	244
bioconductor-bioimagedbs	11100
bioconductor-biomart	296067
bioconductor-biomartgogenesets	1033
bioconductor-biomformat	216586
bioconductor-biomm	18855
bioconductor-biomvcclass	32311
bioconductor-biomvrcns	28954
bioconductor-bionar	3999
bioconductor-bionero	8731
bioconductor-bionet	44516
bioconductor-bionetstat	24447
bioconductor-bioplex	6717
bioconductor-bioqc	43334
bioconductor-bioseqclass	10482
bioconductor-biosigner	58612
bioconductor-biostrings	1451432
bioconductor-biosvd	21404
bioconductor-biotip	17084
bioconductor-biotmle	22669
bioconductor-biotmledata	25344
bioconductor-biovizbase	113366
bioconductor-birewire	43622
bioconductor-birta	32769
bioconductor-birte	18725
bioconductor-biscuiteer	17567
bioconductor-biscuiteerdata	16810
bioconductor-biseq	38475
bioconductor-bitseq	40392
bioconductor-blacksheepr	17436
bioconductor-bladderbatch	33839
bioconductor-blima	45545
bioconductor-blimatestingdata	24987
bioconductor-blma	19242
bioconductor-bloodcancermultiomics2017	20409
bioconductor-bloodgen3module	9371
bioconductor-bluster	259618
bioconductor-bnbc	31508
bioconductor-bnem	8943
bioconductor-bobafit	3895
bioconductor-bodymaprat	20166
bioconductor-borealis	3301
bioconductor-bovine.db	6799
bioconductor-bovine.db0	22649
bioconductor-bovinecdf	4700
bioconductor-bovineprobe	4726
bioconductor-bprmeth	30658
bioconductor-brain	35388
bioconductor-brainflowprobes	14731
bioconductor-brainimager	5352
bioconductor-brainimagerdata	18443
bioconductor-brainsaber	9492
bioconductor-brainstars	23918
bioconductor-branchpointer	23141
bioconductor-breakpointr	24405
bioconductor-breakpointrdata	28183
bioconductor-breastcancermainz	23697
bioconductor-breastcancernki	24955
bioconductor-breastcancertransbig	24057
bioconductor-breastcancerunt	24855
bioconductor-breastcancerupp	24840
bioconductor-breastcancervdx	25200
bioconductor-brendadb	21546
bioconductor-brew3r.r	231
bioconductor-brgedata	22961
bioconductor-brgenomics	14622
bioconductor-bridge	38609
bioconductor-bridgedbr	20276
bioconductor-broadseq	202
bioconductor-bronchialil13	21909
bioconductor-browserviz	30547
bioconductor-browservizdemo	10413
bioconductor-bsgenome	216609
bioconductor-bsgenome.alyrata.jgi.v1	6659
bioconductor-bsgenome.amellifera.beebase.assembly4	4648
bioconductor-bsgenome.amellifera.ncbi.amelhav3.1	3245
bioconductor-bsgenome.amellifera.ucsc.apimel2	4216
bioconductor-bsgenome.amellifera.ucsc.apimel2.masked	4675
bioconductor-bsgenome.aofficinalis.ncbi.v1	4740
bioconductor-bsgenome.athaliana.tair.04232008	4616
bioconductor-bsgenome.athaliana.tair.tair9	4873
bioconductor-bsgenome.btaurus.ucsc.bostau3	4642
bioconductor-bsgenome.btaurus.ucsc.bostau3.masked	4569
bioconductor-bsgenome.btaurus.ucsc.bostau4	4598
bioconductor-bsgenome.btaurus.ucsc.bostau4.masked	4571
bioconductor-bsgenome.btaurus.ucsc.bostau6	4758
bioconductor-bsgenome.btaurus.ucsc.bostau6.masked	4520
bioconductor-bsgenome.btaurus.ucsc.bostau8	4582
bioconductor-bsgenome.btaurus.ucsc.bostau9	3817
bioconductor-bsgenome.btaurus.ucsc.bostau9.masked	1541
bioconductor-bsgenome.carietinum.ncbi.v1	4663
bioconductor-bsgenome.celegans.ucsc.ce10	12855
bioconductor-bsgenome.celegans.ucsc.ce11	4698
bioconductor-bsgenome.celegans.ucsc.ce2	4781
bioconductor-bsgenome.celegans.ucsc.ce6	12731
bioconductor-bsgenome.cfamiliaris.ucsc.canfam2	4633
bioconductor-bsgenome.cfamiliaris.ucsc.canfam2.masked	4744
bioconductor-bsgenome.cfamiliaris.ucsc.canfam3	5756
bioconductor-bsgenome.cfamiliaris.ucsc.canfam3.masked	5558
bioconductor-bsgenome.cjacchus.ucsc.caljac3	4232
bioconductor-bsgenome.cjacchus.ucsc.caljac4	2004
bioconductor-bsgenome.cneoformansvargrubiikn99.ncbi.asm221672v1	1710
bioconductor-bsgenome.creinhardtii.jgi.v5.6	3213
bioconductor-bsgenome.dmelanogaster.ucsc.dm2	4622
bioconductor-bsgenome.dmelanogaster.ucsc.dm2.masked	4832
bioconductor-bsgenome.dmelanogaster.ucsc.dm3	13216
bioconductor-bsgenome.dmelanogaster.ucsc.dm3.masked	4763
bioconductor-bsgenome.dmelanogaster.ucsc.dm6	4816
bioconductor-bsgenome.drerio.ucsc.danrer10	5246
bioconductor-bsgenome.drerio.ucsc.danrer11	3870
bioconductor-bsgenome.drerio.ucsc.danrer5	4617
bioconductor-bsgenome.drerio.ucsc.danrer5.masked	4624
bioconductor-bsgenome.drerio.ucsc.danrer6	4748
bioconductor-bsgenome.drerio.ucsc.danrer6.masked	4351
bioconductor-bsgenome.drerio.ucsc.danrer7	8506
bioconductor-bsgenome.drerio.ucsc.danrer7.masked	3894
bioconductor-bsgenome.dvirilis.ensembl.dvircaf1	3800
bioconductor-bsgenome.ecoli.ncbi.20080805	12765
bioconductor-bsgenome.gaculeatus.ucsc.gasacu1	4622
bioconductor-bsgenome.gaculeatus.ucsc.gasacu1.masked	5129
bioconductor-bsgenome.ggallus.ucsc.galgal3	4723
bioconductor-bsgenome.ggallus.ucsc.galgal3.masked	4605
bioconductor-bsgenome.ggallus.ucsc.galgal4	4639
bioconductor-bsgenome.ggallus.ucsc.galgal4.masked	4645
bioconductor-bsgenome.ggallus.ucsc.galgal5	4622
bioconductor-bsgenome.ggallus.ucsc.galgal6	3842
bioconductor-bsgenome.gmax.ncbi.gmv40	2009
bioconductor-bsgenome.hsapiens.1000genomes.hs37d5	5561
bioconductor-bsgenome.hsapiens.ncbi.grch38	5542
bioconductor-bsgenome.hsapiens.ncbi.t2t.chm13v2.0	2122
bioconductor-bsgenome.hsapiens.ucsc.hg17	4929
bioconductor-bsgenome.hsapiens.ucsc.hg17.masked	4748
bioconductor-bsgenome.hsapiens.ucsc.hg18	8337
bioconductor-bsgenome.hsapiens.ucsc.hg18.masked	3895
bioconductor-bsgenome.hsapiens.ucsc.hg19	36570
bioconductor-bsgenome.hsapiens.ucsc.hg19.masked	7243
bioconductor-bsgenome.hsapiens.ucsc.hg38	36549
bioconductor-bsgenome.hsapiens.ucsc.hg38.dbsnp151.major	2902
bioconductor-bsgenome.hsapiens.ucsc.hg38.dbsnp151.minor	2934
bioconductor-bsgenome.hsapiens.ucsc.hg38.masked	10553
bioconductor-bsgenome.hsapiens.ucsc.hs1	1137
bioconductor-bsgenome.mdomestica.ucsc.mondom5	4308
bioconductor-bsgenome.mfascicularis.ncbi.5.0	3990
bioconductor-bsgenome.mfascicularis.ncbi.6.0	1851
bioconductor-bsgenome.mfuro.ucsc.musfur1	4663
bioconductor-bsgenome.mmulatta.ucsc.rhemac10	3852
bioconductor-bsgenome.mmulatta.ucsc.rhemac2	4711
bioconductor-bsgenome.mmulatta.ucsc.rhemac2.masked	4772
bioconductor-bsgenome.mmulatta.ucsc.rhemac3	4627
bioconductor-bsgenome.mmulatta.ucsc.rhemac3.masked	4500
bioconductor-bsgenome.mmulatta.ucsc.rhemac8	4704
bioconductor-bsgenome.mmusculus.ucsc.mm10	21713
bioconductor-bsgenome.mmusculus.ucsc.mm10.masked	6886
bioconductor-bsgenome.mmusculus.ucsc.mm39	4537
bioconductor-bsgenome.mmusculus.ucsc.mm8	4816
bioconductor-bsgenome.mmusculus.ucsc.mm8.masked	4283
bioconductor-bsgenome.mmusculus.ucsc.mm9	14984
bioconductor-bsgenome.mmusculus.ucsc.mm9.masked	4582
bioconductor-bsgenome.osativa.msu.msu7	6711
bioconductor-bsgenome.ppaniscus.ucsc.panpan1	3577
bioconductor-bsgenome.ppaniscus.ucsc.panpan2	3564
bioconductor-bsgenome.ptroglodytes.ucsc.pantro2	4665
bioconductor-bsgenome.ptroglodytes.ucsc.pantro2.masked	4253
bioconductor-bsgenome.ptroglodytes.ucsc.pantro3	4541
bioconductor-bsgenome.ptroglodytes.ucsc.pantro3.masked	4624
bioconductor-bsgenome.ptroglodytes.ucsc.pantro5	4610
bioconductor-bsgenome.ptroglodytes.ucsc.pantro6	4636
bioconductor-bsgenome.rnorvegicus.ucsc.rn4	4790
bioconductor-bsgenome.rnorvegicus.ucsc.rn4.masked	4057
bioconductor-bsgenome.rnorvegicus.ucsc.rn5	5039
bioconductor-bsgenome.rnorvegicus.ucsc.rn5.masked	4482
bioconductor-bsgenome.rnorvegicus.ucsc.rn6	6063
bioconductor-bsgenome.rnorvegicus.ucsc.rn7	2960
bioconductor-bsgenome.scerevisiae.ucsc.saccer1	4409
bioconductor-bsgenome.scerevisiae.ucsc.saccer2	4374
bioconductor-bsgenome.scerevisiae.ucsc.saccer3	4505
bioconductor-bsgenome.sscrofa.ucsc.susscr11	4357
bioconductor-bsgenome.sscrofa.ucsc.susscr3	5891
bioconductor-bsgenome.sscrofa.ucsc.susscr3.masked	4692
bioconductor-bsgenome.tgondii.toxodb.7.0	6549
bioconductor-bsgenome.tguttata.ucsc.taegut1	4632
bioconductor-bsgenome.tguttata.ucsc.taegut1.masked	4655
bioconductor-bsgenome.tguttata.ucsc.taegut2	4765
bioconductor-bsgenome.vvinifera.urgi.iggp12xv0	4554
bioconductor-bsgenome.vvinifera.urgi.iggp12xv2	4544
bioconductor-bsgenome.vvinifera.urgi.iggp8x	4604
bioconductor-bsgenomeforge	2484
bioconductor-bsseq	53384
bioconductor-bsseqdata	22784
bioconductor-bsubtiliscdf	4560
bioconductor-bsubtilisprobe	4961
bioconductor-bubbletree	62264
bioconductor-bufferedmatrix	41912
bioconductor-bufferedmatrixmethods	40927
bioconductor-bugphyzz	182
bioconductor-bugsigdbr	6724
bioconductor-bumhmm	22688
bioconductor-bumphunter	69106
bioconductor-bumpymatrix	9685
bioconductor-bus	41261
bioconductor-buscorrect	31010
bioconductor-busparse	29402
bioconductor-busseq	7733
bioconductor-cadd.v1.6.hg19	1028
bioconductor-cadd.v1.6.hg38	1031
bioconductor-cadra	1010
bioconductor-caen	9355
bioconductor-cafe	20524
bioconductor-cagefightr	23155
bioconductor-cageminer	6523
bioconductor-cager	47927
bioconductor-calib	30130
bioconductor-calm	17834
bioconductor-camera	70826
bioconductor-camthc	8273
bioconductor-camutqc	206
bioconductor-cancer	2321
bioconductor-cancerclass	30264
bioconductor-cancerdata	22969
bioconductor-cancerinsilico	49282
bioconductor-cancermutationanalysis	37325
bioconductor-cancersubtypes	32298
bioconductor-cand	32646
bioconductor-canine.db	6923
bioconductor-canine.db0	22801
bioconductor-canine2.db	6880
bioconductor-canine2cdf	4704
bioconductor-canine2probe	4683
bioconductor-caninecdf	4684
bioconductor-canineprobe	5284
bioconductor-caomicsv	19153
bioconductor-cardelino	4020
bioconductor-cardinal	64234
bioconductor-cardinalio	1372
bioconductor-cardinalworkflows	22858
bioconductor-carnival	14933
bioconductor-casper	48235
bioconductor-catalyst	23018
bioconductor-category	60753
bioconductor-categorycompare	22317
bioconductor-catscradle	226
bioconductor-causalr	39930
bioconductor-cbaf	21924
bioconductor-cbea	3545
bioconductor-cbioportaldata	17824
bioconductor-cbnplot	2459
bioconductor-cbpmanager	9347
bioconductor-ccdata	23755
bioconductor-ccfindr	30309
bioconductor-ccimpute	3988
bioconductor-ccl4	25265
bioconductor-ccmap	22807
bioconductor-ccplotr	1299
bioconductor-ccpromise	20112
bioconductor-ccrepe	20921
bioconductor-cctutorial	21803
bioconductor-cdi	1128
bioconductor-celaref	20843
bioconductor-celarefdata	23479
bioconductor-celda	30313
bioconductor-celegans.db	6906
bioconductor-celeganscdf	4588
bioconductor-celegansprobe	4694
bioconductor-cellarepertorium	13615
bioconductor-cellbarcode	7705
bioconductor-cellbaser	22752
bioconductor-cellbench	19868
bioconductor-celldex	15805
bioconductor-cellgrowth	22798
